id,title,form,content,views,timestamp,edit_timestamp,archived
14,Long Winding Road,Sijo,"<p class=""ql-align-center""><em class=""ql-font-Roboto"">Many miles, untraveled, along this empty road </em></p><p class=""ql-align-center""><em class=""ql-font-Roboto"">Long and winding forest road, deep wooded , whose end I do not know </em></p><p class=""ql-align-center""><em class=""ql-font-Roboto"">And a fork leads to a wooded vale low, that I call home</em><span class=""ql-cursor"">???</span></p>",19,2024-08-04 11:15:53,2024-08-04 11:51:44,0
15,Into The Shadows,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will slowly fade into a shadow</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">Without essence without breadth</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">You will not understand me</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will follow you and watch you</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">But I, that once was, won't</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will fade into my shadow</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">A solid relic, a light reflection</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will be, but in the shadows</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">To follow you  and to watch you</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">But I, will be long gone</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will be with the shadows</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">With those arduous soles who trod</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">Murky dusks avant-garde</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">For they are now long gone</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">Into solitary recluse</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">I will sometimes reach out</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">To whisper to you and uplift you</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">And you will reach out</span></p><p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">But I, will be long gone...</span></p><p><br></p><p><em class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">Into the shadows</em></p>",12,2024-08-04 12:02:11,2024-08-04 12:09:45,0
16,When She Spurns,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"">I have seen this before</span></p><p><span style=""color: rgb(0, 0, 0);"">A fledgling spark stifled</span></p><p><span style=""color: rgb(0, 0, 0);"">At birth</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">I have been here before</span></p><p><span style=""color: rgb(0, 0, 0);"">When mused words trifled</span></p><p><span style=""color: rgb(0, 0, 0);"">With no worth</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">When my knees gingerly fell to the floor</span></p><p><span style=""color: rgb(0, 0, 0);"">Softly they begged and shuffled</span></p><p><span style=""color: rgb(0, 0, 0);"">At the slamming door</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">And I sought the windy south</span></p><p><span style=""color: rgb(0, 0, 0);"">But the spark waxed weak and worn</span></p><p><span style=""color: rgb(0, 0, 0);"">Two lovers stood lorn</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">A spurned poet, and a petulant muse</span></p>",3,2024-08-04 12:41:53,,0
17,Longing For You,Sijo,"<p class=""ql-align-center""><em style=""color: rgb(0, 0, 0);"">Your hazel eyes ask how long I have waited and longed for you</em></p><p class=""ql-align-center""><em style=""color: rgb(0, 0, 0);"">Ask the raven, how many times I asked to borrow his wings</em></p><p class=""ql-align-center""><em style=""color: rgb(0, 0, 0);"">How many times I have longed to fly to you, beyond the sky</em></p>",5,2024-08-04 12:43:00,2024-08-04 12:45:10,0
18,The Aberdare Ranges -Kenya,Rhyme,"<p><span style=""color: rgb(0, 0, 0);"">Dawn, when silence falters</span></p><p><span style=""color: rgb(0, 0, 0);"">And the trees of the range- </span></p><p><span style=""color: rgb(0, 0, 0);"">Are tucked in a bucket of fog</span></p><p><span style=""color: rgb(0, 0, 0);"">Marching dawn, whose beauty never alters,</span></p><p><span style=""color: rgb(0, 0, 0);"">I tuck myself in blankets like a log</span></p><p><span style=""color: rgb(0, 0, 0);"">At the Treetops Hotel upon the range</span></p><p><span style=""color: rgb(0, 0, 0);"">Dainty dreams upon dawn’s altar</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">The dappled peacock dazes the dawn</span></p><p><span style=""color: rgb(0, 0, 0);"">While the African crowned eagle </span></p><p><span style=""color: rgb(0, 0, 0);"">Will soar, prowling for prey</span></p><p><span style=""color: rgb(0, 0, 0);"">And tourists peep and picture the fawn</span></p><p><span style=""color: rgb(0, 0, 0);"">While their eyes prowl the breakfast tray</span></p><p><span style=""color: rgb(0, 0, 0);"">Jacaranda festooned fashion regal</span></p><p><span style=""color: rgb(0, 0, 0);"">Its blue flowers blue snowfall upon dawn</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Elephants trudge to the watering hole</span></p><p><span style=""color: rgb(0, 0, 0);"">Buffalo follow, even the bush buck</span></p><p><span style=""color: rgb(0, 0, 0);"">The warthog always walks silly,</span></p><p><span style=""color: rgb(0, 0, 0);"">The big five will steal your soul</span></p><p><span style=""color: rgb(0, 0, 0);"">At the Ark's perch, you will be stuck</span></p><p><span style=""color: rgb(0, 0, 0);"">The water adorned by the pond lily</span></p><p><span style=""color: rgb(0, 0, 0);"">The range's serenity, waters your soul</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Pristine streams gush from the moorlands</span></p><p><span style=""color: rgb(0, 0, 0);"">The Hagenia, decked in velvet green</span></p><p><span style=""color: rgb(0, 0, 0);"">The sword lily, sheathed in fibrous tunic</span></p><p><span style=""color: rgb(0, 0, 0);"">And as the Karuru falls hit land</span></p><p><span style=""color: rgb(0, 0, 0);"">True love will pierce to the gene</span></p><p><span style=""color: rgb(0, 0, 0);"">For pristine nature, is the true cupid.</span></p><p><span style=""color: rgb(0, 0, 0);"">Breaths bated as lovers hold hand</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Further, nestled nigh in the blue skies</span></p><p><span style=""color: rgb(0, 0, 0);"">The Kinangop peak, peeking through</span></p><p><span style=""color: rgb(0, 0, 0);"">The closer I get, the further it hides</span></p><p><span style=""color: rgb(0, 0, 0);"">A sun bird chatters, along my trail's high</span></p><p><span style=""color: rgb(0, 0, 0);"">My eyes in tune, such wondrous hillsides </span></p><p><span style=""color: rgb(0, 0, 0);"">I sweat as I head towards the bamboo</span></p><p><span style=""color: rgb(0, 0, 0);"">I am among the butterflies</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Ringlets in a dance, oh! Surreal world</span></p><p><span style=""color: rgb(0, 0, 0);"">Monkeys swing, tree to tree, a trail of imagination</span></p><p><span style=""color: rgb(0, 0, 0);"">A reed buck is openly grazing</span></p><p><span style=""color: rgb(0, 0, 0);"">A canvas of the grassland in its gold</span></p><p><span style=""color: rgb(0, 0, 0);"">I spot a Serval cat, in hiding</span></p><p><span style=""color: rgb(0, 0, 0);"">On a safari truck, the breeze is an inspiration </span></p><p><span style=""color: rgb(0, 0, 0);"">Beauty flows in the altitudes that I behold</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">At dusk the steeped villages prepare for sleep</span></p><p><span style=""color: rgb(0, 0, 0);"">The Nyandarua range, yawns its last</span></p><p><span style=""color: rgb(0, 0, 0);"">Fabled home of the Kikuyu god</span></p><p><span style=""color: rgb(0, 0, 0);"">Curtain like shadows befall the steep</span></p><p><span style=""color: rgb(0, 0, 0);"">And this wonderland begins to nod</span></p><p><span style=""color: rgb(0, 0, 0);"">As the women fluff off days dust fast</span></p><p><span style=""color: rgb(0, 0, 0);"">Men’s ears wide open as it darkens deep</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Wild animals are known to visit</span></p><p><span style=""color: rgb(0, 0, 0);"">Roving around, excitement for the young</span></p><p><span style=""color: rgb(0, 0, 0);"">But the animals are known to visit hungry</span></p><p><span style=""color: rgb(0, 0, 0);"">The locals know too well, memories vivid</span></p><p><span style=""color: rgb(0, 0, 0);"">An elephant’s wrath is meted out bluntly</span></p><p><span style=""color: rgb(0, 0, 0);"">Protection for man and beast not far flung </span></p><p><span style=""color: rgb(0, 0, 0);"">Conservation and nurture is the spirit</span></p><p><br></p><p><em style=""color: rgb(0, 0, 0);"">As Mount Satima watches her watered floors,</em></p><p><em style=""color: rgb(0, 0, 0);"">She knows the heart goes deep</em></p>",4,2024-08-04 12:44:10,,0
19,A Poets Tryst,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"">There was no glee in my reticence</span></p><p><span style=""color: rgb(0, 0, 0);"">While my silence fought the bard</span></p><p><span style=""color: rgb(0, 0, 0);"">The heavens opened and </span></p><p><span style=""color: rgb(0, 0, 0);"">I peered into Poe's past</span></p><p><span style=""color: rgb(0, 0, 0);"">The lilies in this valley</span></p><p><span style=""color: rgb(0, 0, 0);"">Could not bear my harping</span></p><p><span style=""color: rgb(0, 0, 0);"">For they too had verses and lyres</span></p><p><span style=""color: rgb(0, 0, 0);"">Strung stuck on them like wasps</span></p><p><span style=""color: rgb(0, 0, 0);"">I was that wistful summer</span></p><p><span style=""color: rgb(0, 0, 0);"">And winter bore not my weight</span></p><p><span style=""color: rgb(0, 0, 0);"">The cold blue sky day</span></p><p><span style=""color: rgb(0, 0, 0);"">Was my tryst and my dreams</span></p><p><span style=""color: rgb(0, 0, 0);"">For surely as the moon, Poe's muse came by night</span></p><p><span style=""color: rgb(0, 0, 0);"">And left in a huff, like a leaf broken in half</span></p><p><span style=""color: rgb(0, 0, 0);"">There was no wrong or right</span></p><p><span style=""color: rgb(0, 0, 0);"">Just my fight broken daily</span></p><p><span style=""color: rgb(0, 0, 0);"">My melancholy was my morsel by day</span></p><p><span style=""color: rgb(0, 0, 0);"">And my reverie was no breaker of ice</span></p><p><span style=""color: rgb(0, 0, 0);"">For who could mend this muse</span></p><p><span style=""color: rgb(0, 0, 0);"">Who swam in my every heart and bruise</span></p><p><span style=""color: rgb(0, 0, 0);"">Who broke hearts of jade</span></p><p><span style=""color: rgb(0, 0, 0);"">Who was a blue lily, a stare, and a snare</span></p><p><span style=""color: rgb(0, 0, 0);"">It was every jackals day come</span></p><p><span style=""color: rgb(0, 0, 0);"">Even then, who could mend this muse</span></p><p><span style=""color: rgb(0, 0, 0);"">Who stared back at the mess</span></p><p><span style=""color: rgb(0, 0, 0);"">Of many a jackals haunt</span></p><p><span style=""color: rgb(0, 0, 0);"">Of broken jade and men</span></p>",4,2024-08-04 12:49:22,,0
20,I have become ash,Free Verse,"<p><span class=""ql-font-Verdana"">I have become ash</span></p><p><span class=""ql-font-Verdana"">Decayed for decades</span></p><p><span class=""ql-font-Verdana"">What happened?</span></p><p><span class=""ql-font-Verdana"">To my lithe thoughts</span></p><p><span class=""ql-font-Verdana"">And deft digits</span></p><p><br></p><p><span class=""ql-font-Verdana"">That could churn</span></p><p><span class=""ql-font-Verdana"">Heaviness into brevity</span></p><p><span class=""ql-font-Verdana"">And paltry pursuits</span></p><p><span class=""ql-font-Verdana"">Into wee nuances</span></p>",2,2024-08-04 13:00:55,,0
21,The Sun Waits In The Shadows,Free Verse,"<p class=""ql-align-center""><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Verdana"">The sun waits in the shadows, ready to crown the morning with gold</span></p><p class=""ql-align-center""><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Verdana"">If I could fold the suns rays, form them into a crown of gold</span></p><p class=""ql-align-center""><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Verdana"">Then my lovely princess, would always be decked in silver and gold</span></p>",3,2024-08-04 13:03:44,,0
22,The Soldier And The Poet,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"">By the roadside sat two men</span></p><p><span style=""color: rgb(0, 0, 0);"">One a soldier and the other a poet</span></p><p><span style=""color: rgb(0, 0, 0);"">One a warrior among men, </span></p><p><span style=""color: rgb(0, 0, 0);"">The other a warrior of the pen</span></p><p><span style=""color: rgb(0, 0, 0);"">One sculpted by war, </span></p><p><span style=""color: rgb(0, 0, 0);"">The other, by horrors of the soul</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Each had fought a war. </span></p><p><span style=""color: rgb(0, 0, 0);"">For their souls</span></p><p><span style=""color: rgb(0, 0, 0);"">One had killed in jungles cold.</span></p><p><span style=""color: rgb(0, 0, 0);"">The other in pages cold</span></p><p><span style=""color: rgb(0, 0, 0);"">Each to save their soul.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">These warriors of old</span></p><p><span style=""color: rgb(0, 0, 0);"">Sat by that road</span></p><p><span style=""color: rgb(0, 0, 0);"">Where it got clammy and cold</span></p><p><span style=""color: rgb(0, 0, 0);"">Each in their own thoughts</span></p><p><span style=""color: rgb(0, 0, 0);"">Each recounting days gone.</span></p><p><span style=""color: rgb(0, 0, 0);"">When their souls were lost</span></p><p><span style=""color: rgb(0, 0, 0);"">One to the gun</span></p><p><span style=""color: rgb(0, 0, 0);"">The other to the pen</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">But don’t think the poet a lesser man.</span></p><p><span style=""color: rgb(0, 0, 0);"">For as a boy he became a man</span></p><p><span style=""color: rgb(0, 0, 0);"">The pages were real death.</span></p><p><span style=""color: rgb(0, 0, 0);"">Forced to kill those ugly men that took his soul.</span></p><p><span style=""color: rgb(0, 0, 0);"">It was just a dynamite stick.</span></p><p><span style=""color: rgb(0, 0, 0);"">And the fuse went boom!!</span></p><p><span style=""color: rgb(0, 0, 0);"">No more turns</span></p><p><span style=""color: rgb(0, 0, 0);"">Or being passed around like a cigarette by those men.</span></p><p><span style=""color: rgb(0, 0, 0);"">There was just no more cigarette-smoke breath.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">And don’t think the soldier,</span></p><p><span style=""color: rgb(0, 0, 0);"">Anything less</span></p><p><span style=""color: rgb(0, 0, 0);"">They were just orders.</span></p><p><span style=""color: rgb(0, 0, 0);"">“Kill them!”</span></p><p><span style=""color: rgb(0, 0, 0);"">It was just war.</span></p><p><span style=""color: rgb(0, 0, 0);"">“Kill them!”</span></p><p><span style=""color: rgb(0, 0, 0);"">The enemy must learn,</span></p><p><span style=""color: rgb(0, 0, 0);"">Here we mean business.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">So, the two warriors</span></p><p><span style=""color: rgb(0, 0, 0);"">Sat side by side</span></p><p><span style=""color: rgb(0, 0, 0);"">And stared blankly,</span></p><p><span style=""color: rgb(0, 0, 0);"">Across the cold dreary road</span></p><p><span style=""color: rgb(0, 0, 0);"">And in the distance</span></p><p><span style=""color: rgb(0, 0, 0);"">A storm cloud formed, </span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Then sudden thunder.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Each warrior ducked.</span></p>",5,2024-08-04 13:05:10,,0
23,The Sitting,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"" class=""ql-font-Roboto"">There was a sitting</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">A séance of sorts</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">Spirited shadows danced</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">In the dimming wick</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">There was a woman</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">Lover and the weak</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">a carver and red meat</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">There was a priest</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">father, a prayer, king</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">of the weaklings</span></p><p><br></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">There was a rising</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">A séance of sorts</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">Spirits of sudden stir</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">sudden dead wick</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">And the woman</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">Lover suddenly weak</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">carved some red meat</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">There was a priest</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">father of the weaklings</span></p><p><span class=""ql-font-Roboto"" style=""color: rgb(0, 0, 0);"">slayer of the wee</span></p>",13,2024-08-04 13:12:51,,0
26,The Soldier And The Poet - Revised,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"">In the heart of the countryside</span></p><p><span style=""color: rgb(0, 0, 0);"">By the roadside sat two men</span></p><p><span style=""color: rgb(0, 0, 0);"">One a soldier and the other a poet</span></p><p><span style=""color: rgb(0, 0, 0);"">One a warrior among men, </span></p><p><span style=""color: rgb(0, 0, 0);"">The other a warrior of the pen</span></p><p><span style=""color: rgb(0, 0, 0);"">One sculpted by war, </span></p><p><span style=""color: rgb(0, 0, 0);"">The other, by horrors of the soul</span></p><p><span style=""color: rgb(0, 0, 0);"">Each yearning for their Llandudno</span></p><p><span style=""color: rgb(0, 0, 0);"">And in their quiet repose breathing</span></p><p><span style=""color: rgb(0, 0, 0);"">Albeit bated, their psyches memoirs</span></p><p><span style=""color: rgb(0, 0, 0);"">Awash with their immediate past</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Each harrowed and pallid</span></p><p><span style=""color: rgb(0, 0, 0);"">In heart and countenance</span></p><p><span style=""color: rgb(0, 0, 0);"">For each had fought a war. </span></p><p><span style=""color: rgb(0, 0, 0);"">For their souls</span></p><p><span style=""color: rgb(0, 0, 0);"">One had killed in jungles cold.</span></p><p><span style=""color: rgb(0, 0, 0);"">The other in pages cold</span></p><p><span style=""color: rgb(0, 0, 0);"">Each to save their soul.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">So these warriors of old</span></p><p><span style=""color: rgb(0, 0, 0);"">Sat by that road</span></p><p><span style=""color: rgb(0, 0, 0);"">Where it got clammy and cold</span></p><p><span style=""color: rgb(0, 0, 0);"">Each in their own thoughts</span></p><p><span style=""color: rgb(0, 0, 0);"">Each recounting days gone.</span></p><p><span style=""color: rgb(0, 0, 0);"">When their souls were lost</span></p><p><span style=""color: rgb(0, 0, 0);"">One to the gun</span></p><p><span style=""color: rgb(0, 0, 0);"">The other to the pen</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">But don’t think the poet a lesser man.</span></p><p><span style=""color: rgb(0, 0, 0);"">For as a boy he became a man</span></p><p><span style=""color: rgb(0, 0, 0);"">In the pages he wrote were real death.</span></p><p><span style=""color: rgb(0, 0, 0);"">Forced to kill those ugly men that took his soul.</span></p><p><span style=""color: rgb(0, 0, 0);"">It was just a dynamite stick.</span></p><p><span style=""color: rgb(0, 0, 0);"">And the fuse went boom!!</span></p><p><span style=""color: rgb(0, 0, 0);"">No more turns and being passed around </span></p><p><span style=""color: rgb(0, 0, 0);"">Like a cigarette by those men.</span></p><p><span style=""color: rgb(0, 0, 0);"">There would just be no more</span></p><p><span style=""color: rgb(0, 0, 0);"">Cigarette-smoke breath.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">And don’t think the soldier,</span></p><p><span style=""color: rgb(0, 0, 0);"">Anything less</span></p><p><span style=""color: rgb(0, 0, 0);"">They were just orders.</span></p><p><span style=""color: rgb(0, 0, 0);"">“Kill them!”</span></p><p><span style=""color: rgb(0, 0, 0);"">They were just children</span></p><p><span style=""color: rgb(0, 0, 0);"">""Its them or us!""</span></p><p><span style=""color: rgb(0, 0, 0);"">It was just war.</span></p><p><span style=""color: rgb(0, 0, 0);"">“Kill them!”</span></p><p><span style=""color: rgb(0, 0, 0);"">The enemy must learn,</span></p><p><span style=""color: rgb(0, 0, 0);"">Here we mean business.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">So, the two warriors</span></p><p><span style=""color: rgb(0, 0, 0);"">Sat side by side</span></p><p><span style=""color: rgb(0, 0, 0);"">And stared blankly,</span></p><p><span style=""color: rgb(0, 0, 0);"">Across the cold dreary road</span></p><p><span style=""color: rgb(0, 0, 0);"">And in the distance</span></p><p><span style=""color: rgb(0, 0, 0);"">A storm cloud formed, </span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Then sudden thunder.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Each warrior ducked.</span></p>",27,2024-08-05 14:24:38,2024-08-05 20:37:28,0
42,Of Jaded Muses and Digital Distractions,Free Verse,"<p><span style=""color: rgb(0, 0, 0);"">The allure of mused poems,</span></p><p><span style=""color: rgb(0, 0, 0);"">No longer visits this nonchalant psyche.</span></p><p><span style=""color: rgb(0, 0, 0);"">It trickles now, once a roaring torrent</span></p><p><span style=""color: rgb(0, 0, 0);"">Now a lazy stream</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Am like a desultory jaded heaven</span></p><p><span style=""color: rgb(0, 0, 0);"">Where starry jewels once decked the night,</span></p><p><span style=""color: rgb(0, 0, 0);"">But are now drossy shadowy blackholes,</span></p><p><span style=""color: rgb(0, 0, 0);"">And sparks and dreams, </span></p><p><span style=""color: rgb(0, 0, 0);"">Are ripped in the accretion disc.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">No longer avid, but seeking meaning in the mundane.</span></p><p><span style=""color: rgb(0, 0, 0);"">No longer enraptured by the she said, he said,</span></p><p><span style=""color: rgb(0, 0, 0);"">And all that jazz, no iota of care; for trifling muses,</span></p><p><span style=""color: rgb(0, 0, 0);"">Their short goodbyes or critique, no not one,</span></p><p><span style=""color: rgb(0, 0, 0);"">Their infighting and bad blood, no longer,</span></p><p><span style=""color: rgb(0, 0, 0);"">No nuts to crack, nor rain to flush, no iota of care.</span></p><p><br></p><p><em style=""color: rgb(0, 0, 0);"">It was never about who is better,</em></p><p><em style=""color: rgb(0, 0, 0);"">Neither has it been nor will it ever be,</em></p><p><em style=""color: rgb(0, 0, 0);"">About any Magnum Opus.</em></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Like doors closing and skies descending,</span></p><p><span style=""color: rgb(0, 0, 0);"">Each visiting muse devoid of ardor,</span></p><p><span style=""color: rgb(0, 0, 0);"">Oblivious to the yawning dawn,</span></p><p><span style=""color: rgb(0, 0, 0);"">Or the scent of sprouting posies.</span></p><p><span style=""color: rgb(0, 0, 0);"">Jaded, without allure or sheen</span></p><p><span style=""color: rgb(0, 0, 0);"">And devoid of all its lustre.</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">Maybe one day soon a spark will reignite</span></p><p><span style=""color: rgb(0, 0, 0);"">And reanimate this frenetic mused madness</span></p><p><span style=""color: rgb(0, 0, 0);"">But until then...</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">I remain adrift in this sea of trivialities,</span></p><p><span style=""color: rgb(0, 0, 0);"">Worrying about trifling stuff </span></p><p><span style=""color: rgb(0, 0, 0);"">Like ad blockers and AI opinions </span></p><p><span style=""color: rgb(0, 0, 0);"">And irked...</span></p><p><br></p><p><span style=""color: rgb(0, 0, 0);"">By their emasculating knowledge</span></p>",4,2024-10-21 10:57:42,,0
